Course Number: 431, Professor: WALKER D, GPA: 3.500, A's: 12, B's: 9, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WALKER D, GPA: 3.459, A's: 21, B's: 12, C's: 4, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WALKER D, GPA: 3.667, A's: 25, B's: 7, C's: 0, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 431, Professor: JARVI J, GPA: 3.444, A's: 13, B's: 13, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: JARVI J, GPA: 3.438, A's: 16, B's: 14, C's: 2, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: JARVI J, GPA: 3.048, A's: 8, B's: 7, C's: 5, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: JARVI J, GPA: 2.931, A's: 7, B's: 16, C's: 3, D's: 3, E's: 0, F's: 0, Q's: 0
Course Number: 433, Professor: CHEN J, GPA: 2.800, A's: 6, B's: 13, C's: 10, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 433, Professor: WELCH J, GPA: 3.143, A's: 9, B's: 8, C's: 3, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 433, Professor: WELCH J, GPA: 2.971, A's: 12, B's: 13, C's: 7, D's: 3, E's: 0, F's: 3, Q's: 0
Course Number: 433, Professor: WELCH J, GPA: 2.783, A's: 8, B's: 8, C's: 3, D's: 2, E's: 2, F's: 0, Q's: 0
Course Number: 433, Professor: WELCH J, GPA: 2.406, A's: 8, B's: 9, C's: 7, D's: 4, E's: 4, F's: 0, Q's: 0
Course Number: 433, Professor: WILLIAMS T, GPA: 2.806, A's: 9, B's: 14, C's: 11, D's: 1, E's: 1, F's: 0, Q's: 0
Course Number: 433, Professor: WILLIAMS T, GPA: 3.050, A's: 15, B's: 16, C's: 6, D's: 2, E's: 1, F's: 0, Q's: 0
Course Number: 433, Professor: WILLIAMS T, GPA: 3.000, A's: 3, B's: 6, C's: 3, D's: 0, E's: 0, F's: 1, Q's: 0
Course Number: 433, Professor: SZE S, GPA: 3.222, A's: 11, B's: 13, C's: 2, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 433, Professor: WILLIAMS T, GPA: 2.950, A's: 6, B's: 8, C's: 5, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 433, Professor: SZE S, GPA: 3.333, A's: 10, B's: 8, C's: 3, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 434, Professor: NGUYEN K, GPA: 2.714, A's: 4, B's: 4, C's: 5, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 434, Professor: MCGUIRE T, GPA: 3.152, A's: 36, B's: 14, C's: 9, D's: 4, E's: 3, F's: 0, Q's: 0
Course Number: 434, Professor: HORDEMANN G, GPA: 2.500, A's: 9, B's: 4, C's: 3, D's: 1, E's: 5, F's: 0, Q's: 0
Course Number: 434, Professor: RAUCHWERGER L, GPA: 2.882, A's: 9, B's: 4, C's: 0, D's: 1, E's: 3, F's: 0, Q's: 0
Course Number: 434, Professor: HORDEMANN G, GPA: 2.895, A's: 9, B's: 3, C's: 5, D's: 0, E's: 2, F's: 0, Q's: 0
Course Number: 434, Professor: RAUCHWERGER L, GPA: 2.615, A's: 8, B's: 0, C's: 1, D's: 0, E's: 4, F's: 0, Q's: 0
Course Number: 434, Professor: RAUCHWERGER L, GPA: 3.188, A's: 11, B's: 1, C's: 1, D's: 2, E's: 1, F's: 0, Q's: 0
Course Number: 434, Professor: RAUCHWERGER L, GPA: 1.615, A's: 3, B's: 3, C's: 0, D's: 0, E's: 7, F's: 0, Q's: 0
Course Number: 434, Professor: RAUCHWERGER L (H), GPA: 3.333, A's: 5, B's: 0, C's: 0, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 434, Professor: RAUCHWERGER L, GPA: 1.938, A's: 3, B's: 4, C's: 2, D's: 3, E's: 4, F's: 0, Q's: 0
Course Number: 435, Professor: PEARCE O, GPA: 3.796, A's: 78, B's: 11, C's: 4, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.063, A's: 20, B's: 3, C's: 2, D's: 5, E's: 2, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.973, A's: 36, B's: 1, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 435, Professor: PEARCE O, GPA: 3.946, A's: 53, B's: 3, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.296, A's: 17, B's: 5, C's: 2, D's: 2, E's: 1, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.775, A's: 34, B's: 5, C's: 0, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.438, A's: 23, B's: 4, C's: 3, D's: 0, E's: 2, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V (H), GPA: 3.273, A's: 19, B's: 10, C's: 1, D's: 0, E's: 3, F's: 0, Q's: 0
